
2025/02/17 (22:26:55) | ===> btop++ v.1.4.0
2025/02/17 (22:26:55) | INFO: Logger set to DEBUG
2025/02/17 (22:26:55) | DEBUG: Using locale en_US.UTF-8
2025/02/17 (22:26:55) | INFO: Running on /dev/pts/0
2025/02/17 (22:26:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/17 (22:26:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/17 (22:26:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/17 (22:26:55) | DEBUG: Shared::init() : Initialized.
2025/02/17 (22:26:55) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme
2025/02/17 (22:27:02) | DEBUG: Writing new config file
2025/02/17 (22:27:02) | INFO: Quitting! Runtime: 00:00:07

2025/02/19 (01:25:37) | ===> btop++ v.1.4.0
2025/02/19 (01:25:37) | INFO: Logger set to DEBUG
2025/02/19 (01:25:37) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (01:25:37) | INFO: Running on /dev/pts/0
2025/02/19 (01:25:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (01:25:39) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (01:25:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (01:25:39) | DEBUG: Shared::init() : Initialized.
2025/02/19 (01:25:39) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme
2025/02/19 (01:25:57) | INFO: Quitting! Runtime: 00:00:20

2025/02/19 (16:27:48) | ===> btop++ v.1.4.0
2025/02/19 (16:27:48) | INFO: Logger set to DEBUG
2025/02/19 (16:27:48) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (16:27:48) | INFO: Running on /dev/pts/0
2025/02/19 (10:57:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (10:57:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (10:57:51) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (10:57:51) | DEBUG: Shared::init() : Initialized.
2025/02/19 (10:57:51) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (11:27:26) | ===> btop++ v.1.4.0
2025/02/19 (11:27:26) | INFO: Logger set to DEBUG
2025/02/19 (11:27:26) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (11:27:26) | INFO: Running on /dev/pts/0
2025/02/19 (11:27:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
